Number of Players,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,0.43,2.57,,,,,,,,,,,,,,,,,,
3,0.7,0.93,1.37,,,,,,,,,,,,,,,,,
4,0.59,0.64,0.82,0.94,,,,,,,,,,,,,,,,
5,0.48,0.5,0.57,0.72,0.74,,,,,,,,,,,,,,,
6,0.41,0.41,0.5,0.5,0.62,0.58,,,,,,,,,,,,,,
7,0.35,0.34,0.34,0.44,0.51,0.56,0.45,,,,,,,,,,,,,
8,0.3,0.24,0.23,0.36,0.42,0.49,0.49,0.46,,,,,,,,,,,,
9,0.3,0.18,0.21,0.25,0.33,0.43,0.49,0.45,0.36,,,,,,,,,,,
10,0.26,0.15,0.21,0.2,0.23,0.38,0.41,0.42,0.48,0.28,,,,,,,,,,
11,0.19,0.06,0.12,0.17,0.24,0.32,0.32,0.43,0.47,0.39,0.3,,,,,,,,,
12,0.16,0.13,0.09,0.12,0.21,0.23,0.28,0.33,0.39,0.4,0.41,0.27,,,,,,,,
13,0.16,0.09,0.11,0.07,0.13,0.12,0.18,0.25,0.38,0.4,0.39,0.4,0.31,,,,,,,
14,0.14,0.1,0.03,0.09,0.15,0.15,0.14,0.17,0.29,0.37,0.38,0.35,0.41,0.24,,,,,,
15,0.16,0.03,0.01,0.06,0.1,0.14,0.16,0.23,0.26,0.32,0.36,0.32,0.44,0.24,0.17,,,,,
16,0.14,-0.04,-0.01,0.01,0,0.09,0.19,0.12,0.25,0.35,0.29,0.35,0.43,0.35,0.25,0.21,,,,
17,0.09,0.05,-0.04,0.16,0.01,0.04,0.11,0.18,0.16,0.18,0.23,0.3,0.35,0.33,0.39,0.3,0.16,,,
18,0.08,0.01,-0.05,-0.02,-0.03,-0.01,0.01,0.17,0.22,0.23,0.24,0.19,0.34,0.37,0.41,0.36,0.27,0.21,,
19,-0.03,-0.01,-0.01,0.02,-0.05,-0.02,0.08,0.06,0.12,0.18,0.2,0.19,0.25,0.36,0.32,0.43,0.36,0.38,0.18,
20,0.08,0.05,-0.05,-0.13,-0.01,-0.02,0.05,0.08,0.06,0.2,0.2,0.15,0.2,0.23,0.36,0.33,0.32,0.38,0.28,0.22
