Number of Players,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,38.163,61.837,,,,,,,,,,,,,,,,,,
3,30.812,32.761,36.427,,,,,,,,,,,,,,,,,
4,23.966,24.26,25.479,26.295,,,,,,,,,,,,,,,,
5,19.329,19.417,19.832,20.639,20.783,,,,,,,,,,,,,,,
6,16.223,16.224,16.651,16.652,17.224,17.026,,,,,,,,,,,,,,
7,13.974,13.931,13.93,14.344,14.612,14.836,14.373,,,,,,,,,,,,,
8,12.237,12.017,11.975,12.455,12.651,12.914,12.934,12.817,,,,,,,,,,,,
9,10.993,10.589,10.687,10.842,11.087,11.445,11.625,11.516,11.216,,,,,,,,,,,
10,9.865,9.538,9.714,9.689,9.784,10.245,10.334,10.366,10.532,9.933,,,,,,,,,,
11,8.858,8.502,8.669,8.793,9.009,9.212,9.209,9.539,9.638,9.412,9.159,,,,,,,,,
12,8.104,8.015,7.931,7.99,8.225,8.273,8.4,8.527,8.705,8.706,8.733,8.391,,,,,,,,
13,7.52,7.349,7.41,7.304,7.46,7.434,7.581,7.747,8.056,8.101,8.074,8.085,7.879,,,,,,,
14,6.97,6.895,6.725,6.869,6.991,7.011,6.987,7.036,7.32,7.479,7.505,7.438,7.575,7.199,,,,,,
15,6.574,6.321,6.281,6.378,6.449,6.533,6.587,6.734,6.793,6.911,6.996,6.914,7.161,6.755,6.613,,,,,
16,6.154,5.813,5.869,5.905,5.883,6.067,6.248,6.122,6.378,6.561,6.459,6.563,6.72,6.575,6.382,6.301,,,,
17,5.725,5.639,5.487,5.844,5.568,5.633,5.768,5.886,5.848,5.892,5.989,6.113,6.198,6.169,6.271,6.111,5.859,,,
18,5.399,5.277,5.177,5.236,5.206,5.239,5.288,5.56,5.65,5.675,5.684,5.597,5.857,5.915,5.983,5.888,5.742,5.627,,
19,4.945,4.99,4.986,5.026,4.923,4.964,5.135,5.095,5.202,5.306,5.326,5.316,5.422,5.595,5.53,5.715,5.592,5.632,5.3,
20,4.892,4.849,4.678,4.554,4.75,4.732,4.834,4.888,4.865,5.085,5.084,5.004,5.078,5.132,5.338,5.291,5.267,5.361,5.205,5.113
